id	class	text
4702	warning	bad #pragma syntax, pragma ignored
4703	warning	'%Fs' : class of segment cannot be changed
4704	warning	'%Fs' : varargs parameters with this type were promoted
4705	warning	no function prototype on _stdcall function
4901	warning	listing overrides assembly output
4902	warning	ignoring unknown flag '%s'
4903	warning	different processors selected for code generation
4905	warning	could not locate '%s';\nPlease enter new file name (full path) or Ctrl-C to quit: 
4907	warning	/C ignored (must also specify /P or /E or /EP)
4909	warning	threshold only for far/huge data, ignored
4911	warning	preprocessing overrides source listing
4912	warning	function declarations override source listing
4913	warning	combined listing overrides object listing
4914	warning	invalid value '%d' for '%s'; default '%d' is used
4918	warning	.DEF files supported in protected mode only
4919	warning	string too long; truncated to '%d' characters
4920	warning	unsupported switch '%s'
