id	class	text
2401	error	'%s' : register must be base in '%s'
2402	error	'%s' : register must be index in '%s'
2403	error	'%s' : register must be base/index in '%s'
2404	error	'%s' : illegal register in '%s'
2405	error	illegal short forward reference with offset
2406	error	'%s' : name undefined in '%s'
2407	error	illegal float register in '%s'
2408	error	illegal type on PTR operator in '%s'
2409	error	illegal type used as operator in '%s'
2410	error	'%s' : ambiguous member name in '%s'
2411	error	'%s' : illegal struct/union member in '%s'
2412	error	'%Fs' : case insensitive label redefined
2413	error	'%s' : illegal align size
2414	error	illegal number of operands
2415	error	improper operand type
2416	error	'%s' : illegal opcode for processor
2417	error	divide by zero in '%s'
2418	error	'%Fs' : not in a register
2419	error	mod by zero in '%s'
2420	error	'%s' : illegal symbol in %s
2421	error	PTR operator used with register in '%s'
2422	error	illegal segment override in '%s'
2423	error	'%ld' : illegal scale
2424	error	'%Fs' : improper expression in '%s'
2425	error	'%Fs' : nonconstant expression in '%s'
2426	error	'%Fs' : illegal operator in '%s'
2427	error	'%Fs' : jump referencing label is out of range
2428	error	'%Fs' : segment redefinition
2429	error	'%Fs' : illegal far label reference
2430	error	more than one index register in '%s'
2431	error	illegal index register in '%s'
2432	error	illegal reference to 16-bit data in '%s'
2500	error	'%Fs' is already a direct base class
2501	error	'%Fs' : non-function missing decl-specifiers
2502	error	too many access modifiers on the base class
2503	error	'%Fs' : base classes may not contain zero sized arrays
2504	error	'%Fs' : base class undefined
2505	error	'%s' : expected a class name
2506	error	'%Fs::%Fs' : ambiguous
2507	error	'%Fs' : cannot change access specifiers inside unions
2508	error	'%Fs' : access denied
2509	error	'%Fs' : member function not found in class
2510	error	'%Fs' : left of '::' must be a class
2511	error	member function not found in class
2512	error	'%Fs' : no default constructor available
2513	error	'%Fs' : default constructor takes no actual arguments
2514	error	'%Fs' : class has no constructors
2515	error	'%Fs' : not in class '%Fs'. Do not use '::'
2516	error	use of non-class type as constructor inside class definition
2517	error	'%Fs' : cannot define this constructor inside class '%Fs'
2518	error	'%Fs' : class has no constructors, cannot initialize '%Fs'
2519	error	no conversion (%Fs *)<%Fs *>
2520	error	ambiguous conversion (%Fs *)<%Fs *>
2521	error	'%Fs' : constructor/destructor syntax without formal parameters
2522	error	'%Fs' : class already has a destructor
2523	error	'%Fs' : cannot define this destructor inside class '%Fs'
2524	error	'%Fs' : destructors must have a void formal parameter list
2525	error	left of '->' does not have '%Fs' as a baseclass
2526	error	left of '.' does not have '%Fs' as a baseclass
2527	error	array of references is illegal
2528	error	pointer to reference is illegal
2529	error	reference of a reference is illegal
2530	error	'%Fs' : references must be initialized
2531	error	'%Fs' : reference to a bitfield illegal
2532	error	'%s' : cannot modify references
2533	error	'%Fs' : constructors not allowed a return type
2534	error	'%Fs' : constructor cannot return a value
