name	c2_rva	c3_rva	c2_source	c3_source
__unlink	0x0005dd6e	0x0002a8de	D:\nt\private\crt32st\dos\unlink.c	D:\nt\private\crt32st\dos\unlink.c
__write	0x0004f902	0x00029d92	D:\nt\private\crt32st\lowio\write.c	D:\nt\private\crt32st\lowio\write.c
_add_label	0x00026d54	0x00014a04	compiler_contribution_008 [_flow, _find_label, _add_caller...]	pgo.c
_assert	0x000458fc	0x00029f92	compiler_contribution_033 [_dumpn, _setc, _perr...]	debug.c
_atof	0x0004fb02	0x00029fb2	D:\nt\private\crt32st\convert\atof.c	D:\nt\private\crt32st\convert\atof.c
_atoi	0x0004fc9a	0x0002a14a	D:\nt\private\crt32st\convert\atox.c	D:\nt\private\crt32st\convert\atox.c
_atol	0x0004fc22	0x0002a0d2	D:\nt\private\crt32st\convert\atox.c	D:\nt\private\crt32st\convert\atox.c
_before	0x00064596	0x0002cbd0	D:\nt\private\crt32st\heap\heapadd.c	D:\nt\private\crt32st\heap\heapadd.c
_buff_check	0x0004a1b0	0x00026c1c	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_c_size	0x00064ad6	0x0001bf50	compiler_contribution_133 [_op_size, _c_size, _ea_size...]	csize.c
_cftoe_g	0x0004d58e	0x00028582	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
_cftof_g	0x0004d6e2	0x000286d6	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
_chread	0x00049de0	0x00026890	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_close_all	0x0004c90c	0x000270dc	compiler_contribution_041 [_error, _fatal, _warning...]	error.c
_cpybuf	0x00043ff8	0x000110e4	compiler_contribution_029 [_pool_init, _getmem, _sgetmem...]	memallo.c
_crack_cmd	0x000352a0	0x0002a162	compiler_contribution_018 [_crack_cmd, _substr, _getnumber...]	getflags.c
_do_format	0x0004c834	0x00026fcc	compiler_contribution_041 [_error, _fatal, _warning...]	error.c
_doinitterm	0x0004cf80	0x00027360	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
_doread	0x0004a034	0x00026ab8	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_ea_size	0x000654b2	0x0001c8dc	compiler_contribution_133 [_op_size, _c_size, _ea_size...]	csize.c
_emit_label	0x00066fdc	0x0001bacc	compiler_contribution_147 [_caseindex, _cnt_cases, _gencase...]	compiler_contribution_012 [_emit_dbgsyms, _emit_stack_sym, _emit_var_dbgrecord...]
_error	0x0004c530	0x00026d50	compiler_contribution_041 [_error, _fatal, _warning...]	error.c
_exit	0x0004cecc	0x000272ac	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
_fatal	0x0004c57c	0x00026d9c	compiler_contribution_041 [_error, _fatal, _warning...]	error.c
_fclose	0x0005db42	0x0002a6b2	D:\nt\private\crt32st\stdio\fclose.c	D:\nt\private\crt32st\stdio\fclose.c
_fflush	0x0004efc4	0x00029444	D:\nt\private\crt32st\stdio\fflush.c	D:\nt\private\crt32st\stdio\fflush.c
_fgets	0x0005f56a	0x0002a8f8	D:\nt\private\crt32st\stdio\fgets.c	D:\nt\private\crt32st\stdio\fgets.c
_findseg	0x0001e344	0x000124e8	compiler_contribution_005 [_frame_addr, _segnumtoreg, _relseg_internal...]	omf.c
_flread	0x0004a014	0x00026a98	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_fopen	0x0005dda8	0x0002a9a8	D:\nt\private\crt32st\stdio\fopen.c	D:\nt\private\crt32st\stdio\fopen.c
_fprintf	0x0005e49a	0x0002b09a	D:\nt\private\crt32st\stdio\fprintf.c	D:\nt\private\crt32st\stdio\fprintf.c
_fread	0x0005ee0a	0x0002ba6a	D:\nt\private\crt32st\stdio\fread.c	D:\nt\private\crt32st\stdio\fread.c
_free	0x0005ef2a	0x0002bb8a	D:\nt\private\crt32st\heap\free.c	D:\nt\private\crt32st\heap\free.c
_freelst	0x00043f54	0x00011068	compiler_contribution_029 [_pool_init, _getmem, _sgetmem...]	memallo.c
_freemem	0x00043ed8	0x00010ec0	compiler_contribution_029 [_pool_init, _getmem, _sgetmem...]	memallo.c
_fseek	0x0005ef9a	0x0002bc5a	D:\nt\private\crt32st\stdio\fseek.c	D:\nt\private\crt32st\stdio\fseek.c
_ftell	0x0005f02a	0x0002bcea	D:\nt\private\crt32st\stdio\ftell.c	D:\nt\private\crt32st\stdio\ftell.c
_fwrite	0x0005f18a	0x0002be4a	D:\nt\private\crt32st\stdio\fwrite.c	D:\nt\private\crt32st\stdio\fwrite.c
