index	virtual_address	value	type	pad	stored	validated
295	0x000802b0	0x00089b48	3	0	0x00099b48	True
296	0x000802b8	0x0008003b	3	0	0x0009003b	True
297	0x000802bc	0x00080178	3	0	0x00090178	True
298	0x000802c4	0x0008003f	3	0	0x0009003f	True
299	0x000802c8	0x000800e4	3	0	0x000900e4	True
300	0x000802d0	0x00080044	3	0	0x00090044	True
301	0x000802d4	0x000800d4	3	0	0x000900d4	True
302	0x000802dc	0x00080049	3	0	0x00090049	True
303	0x000802e0	0x00080144	3	0	0x00090144	True
304	0x000802e8	0x00080051	3	0	0x00090051	True
305	0x000802ec	0x000800e0	3	0	0x000900e0	True
306	0x000802f4	0x00080056	3	0	0x00090056	True
307	0x000802f8	0x0008015c	3	0	0x0009015c	True
308	0x00080300	0x0008005d	3	0	0x0009005d	True
309	0x00080304	0x00080164	3	0	0x00090164	True
310	0x0008030c	0x00080061	3	0	0x00090061	True
311	0x00080310	0x0008019c	3	0	0x0009019c	True
312	0x00080318	0x00080066	3	0	0x00090066	True
313	0x0008031c	0x0008017c	3	0	0x0009017c	True
314	0x00080324	0x0008006f	3	0	0x0009006f	True
315	0x00080328	0x00080180	3	0	0x00090180	True
316	0x00080330	0x00080073	3	0	0x00090073	True
317	0x00080334	0x0008018c	3	0	0x0009018c	True
318	0x0008033c	0x0008007a	3	0	0x0009007a	True
319	0x00080340	0x00080188	3	0	0x00090188	True
320	0x00080348	0x00080084	3	0	0x00090084	True
321	0x0008034c	0x00070888	3	0	0x00080888	True
322	0x00080354	0x0008008a	3	0	0x0009008a	True
323	0x00080358	0x00070888	3	0	0x00080888	True
324	0x00080360	0x0008008f	3	0	0x0009008f	True
325	0x00080364	0x00080194	3	0	0x00090194	True
326	0x0008036c	0x00080093	3	0	0x00090093	True
327	0x00080370	0x00080198	3	0	0x00090198	True
328	0x00080378	0x00080097	3	0	0x00090097	True
329	0x0008037c	0x000800f0	3	0	0x000900f0	True
330	0x00080384	0x0008009b	3	0	0x0009009b	True
331	0x00080388	0x000800f0	3	0	0x000900f0	True
332	0x00080390	0x0008009f	3	0	0x0009009f	True
333	0x00080394	0x000814f8	3	0	0x000914f8	True
334	0x0008039c	0x000800a3	3	0	0x000900a3	True
