index	rva	line	source	source_raw
84	0x0004cff9	134	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
85	0x0004cffe	123	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
86	0x0004d00b	124	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
87	0x0004d00e	126	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
88	0x0004d01e	135	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
89	0x0004d028	136	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
90	0x0004d02e	137	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
91	0x0004d038	138	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
92	0x0004d0ca	82	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
93	0x0004d0ce	90	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
94	0x0004d0e5	93	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
95	0x0004d0eb	94	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
96	0x0004d0f6	102	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
97	0x0004d103	103	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
98	0x0004d10c	104	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
99	0x0004d10e	105	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
100	0x0004d113	107	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
101	0x0004d127	109	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c
