index	source	source_raw	start_rva	end_rva	length	functions
21	compiler_contribution_021 [_rematch, _findhashnode, _inshashnode...]	c:\c6\\cmerge\	0x00035f60	0x0003d0ec	0x718c	_rematch; _findhashnode; _inshashnode; _rmhashnode; _newru; _freeru; _pushru; _freeuselist; _clearuses; _finduse; _findadruse; _findreguse; _rmuse; _rmusei; _rmbits; _mvuse; _clearbits; _allsaved; _regmap_init; _initMD; _resetMD; _annexlist; _doannex; _reg_find; _reg_pick; _reg_alloc; _reg_build; _numtomap; _rset; _regset; _ea_walk; _ea_set; _ustati; _ustat; _uustat; _set_pref; _reg_assign; _grab_reg; _chgreg; _reg_construct; _reg_this_size; _dereg; _set_rtab; _add_rtab; _lastreg; _get_rtab; _rtop; _checkavail; _lastref; _reg_avail; _reg_steal; _reg_restore; _is_stolen; _reg_occupied; _clearmap; _reguse_refsleft; _regrefsleft; _move_reg; _is_eaopnd; _seg_pos; _ea_free; _freestandard; _freespecial; _freemarknode; _dstrmarknode; _clearcopies; _dstrmark; _freemark; _clear_saved; _ea_freea; _live_inreg; _live_efad; _is_locked; _is_segreg; _constrain_addreg; _constrain_inreg; _rmuseintree; _advancemark; _advanceseq; _dis_inreg; _un_inreg; _dec_refcnt; _nodeintree; _eqnode; _eqreg; _dontspill; _alternative; _checkrematch; _chkupd; _newlyinreg; _upd_busy; _regno; _opndofs; _rew_half; _regstring; _uses_segreg; _spillee; _spiller; _abandon; _spill; _un_inreg_walk; _rew_lmem; _rew_mem; _fix_pair; _fix_halflong; _rew_inreg; _spill_look; _spill_track; _spill_untrack; _clear_effaddr; _spill_reg; _do_spill; _clr_except; _regisin; _spilllist; _loadargs; _InitGlobCSEReg; _SetGlobCSEReg; _IsGlobCSEReg; _FinishGlobCSEInit; _chkmap; _mch; _printreg; _mypreg; _pruse; _dumpreg; _prhashtab; _prhist; _propndi; _propnd
22	compiler_contribution_022 [_FltChr, _FltSize, _maclook...]	c:\c6\\cmerge\	0x0003d0f0	0x0003d5dc	0x4ec	_FltChr; _FltSize; _maclook; _condlook; _mactext; _libname; _opcall; _fop
23	compiler_contribution_023 [_cseopt, _csecheck, _csech0...]	c:\c6\\cmerge\	0x0003d5e0	0x0003f8cc	0x22ec	_cseopt; _csecheck; _csech0; _csech1; _csech2; _loc_hash; _put_mark; _update_lastuses; _rstores; _extr_val; _extr_gval; _rst_find; _csekill; _cse_dkill; _dag_mark; _hash_find; _hash_insert; _syn_find; _asyn_find; _cse_interference; _is_sym_global; _is_global; _safe_local; _unsafe_var; _makeextract; _upd_mark; _ins_mark; _update_flow; _find_par; _csedump; _valdump; _csebvc; _loc_attrib; _glob_hash; _smartdup; _clear_glob_hash; _build_ghash; _build_ghash1; _gkillmsk; _killamask; _extr_extr_mask; _is_altered; _hybvalmatch; _nmduptree; _mduptree
24	compiler_contribution_024 [_dumpstr, _pr_cc, _pr_s...]	c:\c6\\cmerge\	0x0003f8d0	0x000411b4	0x18e4	_dumpstr; _pr_cc; _pr_s; _ov_check; _ov_call; _emit_ov_call; _emit_check; _opnd_check; _reginopnd; _cc_su; _cc_tst; _cc_unsign; _addeq; _noeq; _is_branch; _hi_low; _hireg; _bininst; _genmov; _si_di_setup; _increg; _strcopy; _inc_and_mov; _restore_ds; _setcx; _gen_movs; _set_seg; _put_lea; _pupo; _noexpand; _getlr; _patchname
25	compiler_contribution_025 [_pril, _pri, _xpril...]	c:\c6\\cmerge\	0x000411c0	0x00041e88	0xcc8	_pril; _pri; _xpril; _printnode; _prtl; _prtls; _prbl; _prblinfo; _prbl1s; _prilblk; _dbgprint; _dbgprint_internal; _scr
26	compiler_contribution_026	c:\c6\\cmerge\	0x00041e90	0x00041e90	0x0	
27	compiler_contribution_027 [_is_predefined, _SetNearFarFrame, _getsym...]	c:\c6\\cmerge\	0x00041e90	0x00043cb4	0x1e24	_is_predefined; _SetNearFarFrame; _getsym; _initsym; _init0sym; _symadd; _freesym; _write_symtab; _debugsyms; _param_recurse; _symlook; _prssr; _prsymtab; _newlabel; _newname; _newdummy; _getsmem; _endp2; _ProcessInitBlock; _alloc_init_syms; _getvalues; _helpsym; _chkplmnf; _ail_locsym
28	compiler_contribution_028	c:\c6\\cmerge\	0x00043cc0	0x00043cc0	0x0	
29	compiler_contribution_029 [_pool_init, _getmem, _sgetmem...]	c:\c6\\cmerge\	0x00043cc0	0x00044230	0x570	_pool_init; _getmem; _sgetmem; _pool_malloc; _freemem; _freelst; _palloc; _pstrdup; _cpybuf; _memstats; _mem_print; _poolcount; _mem_check
30	compiler_contribution_030 [_gencode, _genlink, _generate...]	c:\c6\\cmerge\	0x00044230	0x000455f0	0x13c0	_gencode; _genlink; _generate; _rereg; _rerc; _reext; _findchild; _findparent; _child; _parent; _split_mark; _numargs; _refsleft; _foldreg; _indent; _prpnode; _genln; _is_genln
31	compiler_contribution_031	c:\c6\\cmerge\	0x000455f0	0x000455f0	0x0	
32	compiler_contribution_032 [_preg]	c:\c6\\cmerge\	0x000455f0	0x000456c4	0xd4	_preg
33	compiler_contribution_033 [_dumpn, _setc, _perr...]	c:\c6\\cmerge\	0x000456d0	0x000459a8	0x2d8	_dumpn; _setc; _perr; _setflags; _addflag; _conexec; _ifdb; _PANIC; _assertloop; _assert; _assertm; _expect; _prof_start; _prof_end
34	compiler_contribution_034 [_codegen, _tokpush, _tokinit...]	c:\c6\\cmerge\	0x000459b0	0x00046160	0x7b0	_codegen; _tokpush; _tokinit; _xxdump; _get_index; _ppop
35	codegen.c	codegen.c	0x00046160	0x00049dd4	0x3c74	_constrmatch; _addr_spill; _which_reg; _half_const; _oktomultipush; _regtocnstr; _worth_tworeg; _worthit; _doescc; _xxcondition; _xxaction
36	compiler_contribution_036	c:\c6\\cmerge\	0x00049de0	0x00049de0	0x0	
37	compiler_contribution_037 [_chread, _keyread, _shread...]	c:\c6\\cmerge\	0x00049de0	0x0004a2b0	0x4d0	_chread; _keyread; _shread; _loread; _flread; _doread; _rtread; _zsread; _lsread; _lsignore; _buff_check; _il_file; _werr
38	compiler_contribution_038	c:\c6\\cmerge\	0x0004a2b0	0x0004a2b0	0x0	
39	compiler_contribution_039 [_matchtree, _matchtreetypeless, _mtchtree...]	c:\c6\\cmerge\	0x0004a2b0	0x0004b814	0x1564	_matchtree; _matchtreetypeless; _mtchtree; _findtree; _findtree_internal; _lmatchesr; _eqmap; _constant; _datalength; _duptree; _init_tmphead; _maketemp; _treetemp; _treesymtemp; _get_temp; _free_temps; _reuse_temps; _is_local; _eatmark; _ispure; _ispure_nogsrc; _purewart; _makelabel; _noeffect; _noeffect_hoist; _noeffect_tree; _noeffect_optimize; _fruitless; _ovsum; _typer; _bitextract; _bitassign; _prtemps; _makelist; _findnode; _skipcvtmark
40	compiler_contribution_040 [_canon_except, _canon_except_bu, _resetsp...]	c:\c6\\cmerge\	0x0004b820	0x0004c52c	0xd0c	_canon_except; _canon_except_bu; _resetsp; _savesp; _allocsavesp; _unwindcall
41	compiler_contribution_041 [_error, _fatal, _warning...]	c:\c6\\cmerge\	0x0004c530	0x0004c94c	0x41c	_error; _fatal; _warning; _message; _print; _format; _do_format; _close_all
42	compiler_contribution_042 [_chwrite, _shwrite, _keywrite...]	c:\c6\\cmerge\	0x0004c950	0x0004ccc8	0x378	_chwrite; _shwrite; _keywrite; _lowrite; _flwrite; _dowrite; _rtwrite; _zswrite; _lswrite
43	intab.c	intab.c	0x0004ccd0	0x0004ccd0	0x0	
44	i386\chkstk.asm	i386\chkstk.asm	0x0004ccd0	0x0004ccfd	0x2d	__chkstk
45	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c	0x0004cd00	0x0004cd7c	0x7c	__close
46	D:\nt\private\fp32st\tran\i386\ieee87.c	D:\nt\private\fp32st\tran\i386\ieee87.c	0x0004cd8c	0x0004cde0	0x54	__status87; __clear87; __control87
47	D:\nt\private\crt32st\misc\ctype.c	D:\nt\private\crt32st\misc\ctype.c	0x0004cdec	0x0004cdec	0x0	
48	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c	0x0004cdec	0x0004cfa0	0x1b4	__cinit; _exit; __exit; __cexit; __c_exit; doexit; _doinitterm
49	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c	0x0004cfbe	0x0004d03e	0x80	__dosmaperr
50	i386\crtexcpt.asm	i386\crtexcpt.asm	0x0004d03e	0x0004d0b3	0x75	__except_handler; __global_unwind; __local_unwind
51	D:\nt\private\crt32st\stdio\_filbuf.c	D:\nt\private\crt32st\stdio\_filbuf.c	0x0004d0ca	0x0004d17a	0xb0	__filbuf
52	D:\nt\private\crt32st\stdio\_flsbuf.c	D:\nt\private\crt32st\stdio\_flsbuf.c	0x0004d17a	0x0004d29e	0x124	__flsbuf
53	D:\nt\private\fp32st\conv\fpinit.c	D:\nt\private\fp32st\conv\fpinit.c	0x0004d2aa	0x0004d2ea	0x40	__fpmath; __fpclear; __cfltcvt_init
54	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c	0x0004d2ea	0x0004d83e	0x554	__forcdecpt; __cropzeros; __positive; __fassign; __cftoe; _cftoe_g; __cftof; _cftof_g; __cftog; __cfltcvt; _shift
55	D:\nt\private\fp32st\conv\i386\atold.c	D:\nt\private\fp32st\conv\i386\atold.c	0x0004d84a	0x0004d86e	0x24	__atold
56	D:\nt\private\fp32st\conv\strgtold.c	D:\nt\private\fp32st\conv\strgtold.c	0x0004d87a	0x0004de36	0x5bc	___STRINGTOLD
57	D:\nt\private\fp32st\conv\mantold.c	D:\nt\private\fp32st\conv\mantold.c	0x0004de3a	0x0004e0ae	0x274	___addl; ___add_12; ___shl_12; ___shr_12; ___mtold12
58	D:\nt\private\fp32st\conv\tenpow.c	D:\nt\private\fp32st\conv\tenpow.c	0x0004e0ba	0x0004e3aa	0x2f0	___ld12mul; ___multtenpow12
59	D:\nt\private\crt32st\misc\cmiscdat.c	D:\nt\private\crt32st\misc\cmiscdat.c	0x0004e3aa	0x0004e3aa	0x0	
60	D:\nt\private\fp32st\conv\cfout.c	D:\nt\private\fp32st\conv\cfout.c	0x0004e3aa	0x0004e41a	0x70	__fltout
61	D:\nt\private\fp32st\conv\x10fout.c	D:\nt\private\fp32st\conv\x10fout.c	0x0004e41a	0x0004e7c2	0x3a8	_$I10_OUTPUT
62	D:\nt\private\fp32st\conv\ldtod.c	D:\nt\private\fp32st\conv\ldtod.c	0x0004e7ca	0x0004ea36	0x26c	___dtold; ___ldtod
63	D:\nt\private\crt32st\convert\_fptostr.c	D:\nt\private\crt32st\convert\_fptostr.c	0x0004ea3a	0x0004eaca	0x90	__fptostr
64	D:\nt\private\crt32st\startup\crt0fp.c	D:\nt\private\crt32st\startup\crt0fp.c	0x0004eaca	0x0004ead6	0xc	__fptrap
